Island,Archipelago,Ocean,Island.Name,Dendrocygna.arborea,Oxyura.jamaicensis,Aix.sponsa,Melanerpes.radiolatus,Colaptes.auratus,Todus.mexicanus,Chaetura.martinica,Chaetura.cinereiventris,Tachornis.phoenicobia,Apus.alexandri,Trochilus.polytmus,Speotyto.cunicularia,Caprimulgus.cubanensis,Caprimulgus.noctitherus,Caprimulgus.cayennensis,Columba.livia,Columba.palumbus,Columba.squamosa,Columba.caribaea,Geotrygon.mystacea,Cyanolimnas.cerverai,Pardirallus.maculatus,Fulica.atra,Fulica.americana,Fulica.caribaea,Gallinago.gallinago,Jacana.spinosa,Burhinus.bistriatus,Himantopus.mexicanus,Charadrius.vociferus,Charadrius.alexandrinus,Charadrius.collaris,Cursorius.cursor,Sterna.nilotica,Sterna.maxima,Sterna.hirundo,Pandion.haliaetus,Chondrohierax.uncinatus,Rostrhamus.sociabilis,Buteo.ridgwayi,Buteo.jamaicensis,Polyborus.plancus,Falco.tinnunculus,Falco.sparverius,Falco.pelegrinoides,Phaethon.aethereus,Egretta.rufescens,Egretta.garzetta,Ardea.herodias,Butorides.virescens,Pelecanus.occidentalis,Cathartes.aura,Mycteria.americana,Pterodroma.madeira,Pterodroma.feae,Pterodroma.hasitata,Bulweria.bulwerii,Calonectris.diomedea,Puffinus.puffinus,Puffinus.assimilis,Tyrannus.caudifasciatus,Vireo.osburni,Corvus.jamaicensis,Corvus.nasicus,Cichlherminia.lherminieri,Turdus.nudigenis,Turdus.jamaicensis,Turdus.swalesi,Ferminia.cerverai,Progne.cryptoleuca,Progne.dominicensis,Hirundo.fulva,Regulus.regulus,Regulus.teneriffae,Regulus.ignicapillus,Acrocephalus.brevipennis,Phylloscopus.collybita,Sylvia.atricapilla,Sylvia.melanocephala,Sylvia.conspicillata,Eremopterix.nigriceps,Ammomanes.cincturus,Alaemon.alaudipes,Calandrella.rufescens,Alauda.razae,Passer.domesticus,Passer.hispaniolensis,Passer.iagoensis,Passer.montanus,Petronia.petronia,Motacilla.cinerea,Anthus.berthelotii,Fringilla.coelebs,Fringilla.teydea,Serinus.canaria,Carduelis.chloris,Carduelis.dominicensis,Carduelis.cannabina,Rhodopechys.githaginea,Aratinga.labati,Chlorostilbon.elegans,Pterodroma.caribbaea
Lobos,Canaries,Atlantic,Lobos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Santiago,CapeVerdes,Atlantic,Santiago,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fogo,CapeVerdes,Atlantic,Fogo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brava,CapeVerdes,Atlantic,Brava,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I.do.Rombo,CapeVerdes,Atlantic,I.do.Rombo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San.Antão,CapeVerdes,Atlantic,San.Antão,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Vicente,CapeVerdes,Atlantic,S.Vicente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Luzia,CapeVerdes,Atlantic,S.Luzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branco,CapeVerdes,Atlantic,Branco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raso,CapeVerdes,Atlantic,Raso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
